Book Name,Author,Description,Listening Time,Ranks and Genre,Final_Rating,Final_Price,Final_Reviews,Clean_Genres,Cluster,Hybrid_Score
quidditch through the ages,j.k. rowling,"A perennial best-seller in the wizarding world and one of the most popular books in the Hogwarts School Library, Quidditch Through the Ages contains all you will ever need to know about the history, the rules - and the breaking of the rules - of the noble sport of Quidditch. Packed with fascinating facts, this definitive guide by the esteemed Quidditch writer Kennilworthy Whisp charts the game's history from its early origins in the medieval mists on Queerditch Marsh through to the modern-day sport loved by so many wizard and Muggle families around the world. With comprehensive coverage of famous Quidditch teams, the commonest fouls, the development of racing brooms, and much more, this is a must-have sporting bible for all Harry Potter fans and Quidditch lovers and players, whether the weekend amateur or the seasoned Chudley Cannons season-ticket holder. ",3 hours and 10 minutes,",#640 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#1 in Sports Fiction for Children,#3 in Contemporary Fantasy,#5 in Children's Sport (Books)",4.7,652.0,1140.0,[],1,5.635864139944831
the bfg,roald dahl,Brought to you by Penguin.,4 hours and 24 minutes,",#2,135 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#22 in Fiction Classics for Children,#25 in Humorous Fiction for Children,#44 in Fantasy & Magic for Children",4.6,615.0,2421.0,[],1,5.876939569645215
americanah,chimamanda ngozi adichie,Shortlisted for the Baileys Women’s Prize for Fiction 2014.,17 hours and 28 minutes,",#2,164 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#8 in African American Literature,#10 in Political Fiction,#52 in Women's Fiction",4.5,827.0,6201.0,[],1,6.193050839864158
rich dad's increase your financial iq: get smarter with your money,robert t. kiyosaki,"In 1997, Robert’s book Rich Dad, Poor Dad stunned listeners, stating, ""Your house is not an asset."" As howls of protest went up around the world, the book went on to become an international best seller, one of the longest-running best sellers in New York Times history. ",8 hours and 32 minutes,",#648 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#33 in Personal Finance,#39 in Investing & Trading,#1,506 in Business & Economics",4.6,670.0,540.0,['506 In Business & Economics'],1,5.277367711538592
"intuitive eating: a practical guide to make peace with food, free yourself from chronic dieting, and reach your natural weight",evelyn tribole,Find Your Intuitive Eater Within - and Never Diet Again ,4 hours and 14 minutes,",#2,077 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#1 in Eating Disorders,#14 in Weight Loss Diets,#77 in Middle Eastern History (Books)",4.6,492.0,1362.0,[],1,5.646977372678613
meri jeevan yatra (hindi edition),a. p. j. abdul kalam,"This product is from Prabhat Prakashan, one of the leading publishing houses in India. Prabhat Prakashan has a glorious history of 50 years of publishing quality books on almost all streams of literature, viz. children books, fiction, science, quiz, humanities, personality development, health, dictionaries, encyclopedias, etc. For the last 15 years, Prabhat Prakashan has been continuously winning accolades for excellence in book publication.",3 hours and 59 minutes,",#2,145 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#6 in Biographies of Activists,#2,652 in Biographies & Autobiographies (Books)",4.6,501.0,533.0,['652 In Biographies & Autobiographies (Books)'],1,5.272158335584078
"declutter your mind: how to stop worrying, relieve anxiety, and eliminate negative thinking",s.j. scott,"Feel overwhelmed by your thoughts? Struggling with anxiety about your daily tasks? Or do you want to stop worrying about life? The truth is we all experience the occasional negative thought. But if you always feel overwhelmed, then you need to closely examine how these thoughts are negatively impacting your lifestyle. ",3 hours and 16 minutes,",#941 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#15 in Stress Management,#40 in Science,#41 in Business Motivation & Self-Improvement",4.4,501.0,968.0,[],1,5.390505844756307
vipassana dhyan (hindi),osho,"Vipassana sabse kimti dhyan hai. Iski vidhi hai, sirph baithkar shvas ko dekhte rahna. Yah pranayam nahi hai, shvas ki naisargik gati ko sakshibhav se dekhna hi vipassana hai. Is tarh dekht-dekhte hi chitt ke sare rog tirohit ho jate hai, sharir se sambandh tut jata hai. Ise aharnish kahi bhi kiya ja sakta hai.",1 hour and 49 minutes,",#837 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#30 in Meditation (Audible Audiobooks & Originals),#1,977 in Personal Development & Self-Help",-1.0,167.0,0.0,['977 In Personal Development & Self-Help'],1,-0.6
inferno,dan brown,"Harvard symbologist Robert Langdon wakes up in Florence disoriented and confused. He doesn't remember how he got there. But in an international mystery that takes him across Europe to save the world from a terrifying fate, he must decipher codes hidden in Renaissance artworks with only a few lines from Dante's Inferno to guide him. ",17 hours and 12 minutes,",#2,108 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#73 in Suspense,#494 in Literature & Fiction (Audible Audiobooks & Originals),#3,126 in Crime, Thriller & Mystery (Books)",4.4,1093.0,26219.0,"['126 In Crime', 'Thriller & Mystery (Books)']",1,6.709711102927077
a house for mr. biswas,v.s. naipaul,"A House for Mr. Biswas, by Nobel and Booker Prize-winning author V. S. Naipaul, is a powerful novel about one man's struggle for identity and belonging. Born into poverty, then trapped in the shackles of charity and gratitude, Mr. Biswas longs for a house he can call his own. He loathes his wife and her wealthy family, upon whom he is dependent. Finding himself a mere accessory on their estate, his constant rebellion is motivated by the one thing that can symbolize his independence. The book is striking in its lush and sensual descriptions of Trinidad and was listed as one of Time magazine's 100 Best English-Language Novels from 1923 to 2005. ",21 hours and 29 minutes,",#2,150 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#3 in Small Town & Rural Fiction,#60 in World Literature (Audible Audiobooks & Originals),#75 in Historical Fiction (Audible Audiobooks & Originals)",4.3,1289.0,338.0,[],1,4.91040004295218
the bastard of istanbul,elif shafak,Penguin presents the audiobook edition of The Bastard of Istanbul by Edif Shafak.  ,11 hours and 4 minutes,",#2,213 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#54 in Women's Fiction,#64 in World Literature (Audible Audiobooks & Originals),#79 in Historical Fiction (Audible Audiobooks & Originals)",4.2,820.0,408.0,[],7,4.9254860624171215
"titan: the life of john d. rockefeller, sr.",ron chernow,"John D. Rockefeller, Sr., history’s first billionaire and the patriarch of America’s most famous dynasty, is an icon whose true nature has eluded three generations of historians. Now Ron Chernow, a National Book Award-winning biographer, gives us a detailed and insightful history of the mogul. Titan is the first full-length biography based on unrestricted access to Rockefeller’s exceptionally rich trove of papers. A landmark publication full of startling revelations, the book indelibly alters our image of this most enigmatic capitalist. ",35 hours and 3 minutes,",#2,283 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#12 in Economic History (Audible Audiobooks & Originals),#17 in History of the Americas,#20 in Historical Biographies",4.6,1338.0,621.0,[],1,5.333176037095672
pride and prejudice,jane austen,"One of Jane Austen’s most beloved works, Pride and Prejudice, is vividly brought to life by Academy Award nominee Rosamund Pike (Gone Girl). In her bright and energetic performance of this British classic, she expertly captures Austen’s signature wit and tone. Her attention to detail, her literary background, and her performance in the 2005 feature film version of the novel provide the perfect foundation from which to convey the story of Elizabeth Bennet, her four sisters, and the inimitable Mr. Darcy. ",11 hours and 35 minutes,",#128 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#1 in Regency Romance,#5 in Classic Literature,#65 in Historical Fiction (Books)",4.5,32.0,9558.0,[],1,6.366095359225504
pride and prejudice,jane austen,"Sorry, we just need to make sure you're not a robot. For best results, please make sure your browser is accepting cookies.",-1,-1,4.5,32.0,9558.0,[],3,6.366095359225504
pride and prejudice,jane austen,"Sorry, we just need to make sure you're not a robot. For best results, please make sure your browser is accepting cookies.",-1,-1,4.5,32.0,9558.0,[],3,6.366095359225504
pride and prejudice,jane austen,"Sorry, we just need to make sure you're not a robot. For best results, please make sure your browser is accepting cookies.",-1,-1,4.5,32.0,9558.0,[],3,6.366095359225504
half of a yellow sun,chimamanda ngozi adichie,Winner of the Baileys Prize Best of the Best ,18 hours and 9 minutes,",#2,188 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#5 in Small Town & Rural Fiction,#16 in War & Military Fiction,#110 in Classic Literature",4.6,13442.0,1910.0,[],1,5.782152777696109
the qur'an: a new translation by m. a. s. abdel haleem,m. a. s. abdel haleem - translator,"""Read! Your Lord is the Most Bountiful one who taught by the pen, who taught man what he did not know.""",19 hours and 15 minutes,",#632 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#1 in Quran,#58 in Islam (Books)",4.6,1003.0,2381.0,[],1,5.870278299966098
"my sister, the serial killer",oyinkan braithwaite,Shortlisted for the Women's Prize for Fiction 2019,4 hours and 30 minutes,",#613 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#1 in Women Sleuth Mysteries,#3 in Dark Humour Literature & Fiction,#8 in Women's Fiction",4.2,569.0,2903.0,[],1,5.709537750377875
genghis khan and the making of the modern world,jack weatherford,"The Mongol army led by Genghis Khan subjugated more lands and people in 25 years than the Romans did in 400. In nearly every country the Mongols conquered, they brought an unprecedented rise in cultural communication, expanded trade, and a blossoming of civilization. ",14 hours and 20 minutes,",#2,112 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#4 in Medieval European History,#19 in Historical Biographies,#33 in Asian History (Audible Audiobooks & Originals)",4.6,1003.0,1221.0,[],1,5.603297655892616
beach read,emily henry,Brought to you by Penguin.,10 hours and 13 minutes,",#1,223 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#9 in Romantic Comedy,#11 in Humorous Fiction,#1,822 in Romance (Books)",4.5,888.0,1503.0,['822 In Romance (Books)'],1,5.6263534018039145
the wealth of nations,adam smith,"The Wealth of Nations, first published in 1776, is the first book of modern political economy and still provides the foundation for the study of that discipline. An Enquiry into the Nature and Causes of the Wealth of Nations, to give it is full title, was an immediate best seller and has since rightfully claimed its place in the Western intellectual canon. Its author, Adam Smith (1723-1790), was one of the brightest stars of the 18th-century Scottish Enlightenment. ",41 hours and 58 minutes,",#1,245 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#6 in Economic History (Audible Audiobooks & Originals),#10 in Economic Theory (Audible Audiobooks & Originals),#65 in Theory & Philosophy",4.7,2847.0,15.0,[],1,3.929035488895912
the wealth of nations,adam smith,"The foundation for all modern economic thought and political economy, The Wealth of Nations is the magnum opus of Scottish economist Adam Smith, who introduces the world to the very idea of economics and capitalism in the modern sense of the words. Smith details his argument in five books: ",36 hours and 43 minutes,",#3,073 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#21 in United States History (Audible Audiobooks & Originals),#160 in Classic Literature,#306 in United States History (Books)",4.7,2847.0,15.0,[],1,3.929035488895912
alan turing: the enigma,andrew hodges,Listed as one of the essential 50 books of all time in The Guardian,30 hours and 40 minutes,",#1,975 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#11 in Machine Theory & AI,#13 in Biographies of Science & Technology Leaders,#173 in United States History (Books)",4.0,1138.0,1160.0,[],1,5.222814792679157
"the shallows: how the internet is changing the way we think, read and remember",nicholas carr,,unknown,unknown,4.5,721.0,162.0,['Unknown'],1,4.737500080322705
pre-suasion: a revolutionary way to influence and persuade,robert cialdini,Brought to you by Penguin. ,9 hours and 24 minutes,",#919 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#5 in Negotiating,#7 in Social Psychology,#1,460 in Analysis & Strategy",4.5,888.0,766.0,['460 In Analysis & Strategy'],1,5.356994720546902
a fine balance,rohinton mistry,"With a compassionate realism and narrative sweep that recall the work of Charles Dickens, this magnificent novel captures all the cruelty and corruption, dignity and heroism, of India. The time is 1975. The place is an unnamed city by the sea. The government has just declared a State of Emergency, in whose upheavals four strangers - a spirited widow, a young student uprooted from his idyllic hill station, and two tailors who have fled the caste violence of their native village - will be thrust together, forced to share one cramped apartment and an uncertain future. ",25 hours and 49 minutes,",#1,636 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#15 in Fiction Sagas,#49 in Historical Fiction (Audible Audiobooks & Originals),#100 in Literary Fiction",4.5,1673.0,1289.0,[],1,5.564958998942287
a whole new mind: why right-brainers will rule the future,daniel h. pink,"Sorry, we just need to make sure you're not a robot. For best results, please make sure your browser is accepting cookies.",-1,-1,4.4,585.0,608.0,[],3,5.204727307083959
ajaya pason ka khel,anand neelkantan,The Mahabharata endures as the great epic of India. ,28 hours and 5 minutes,",#664 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#41 in Literary Fiction,#3,388 in Literature & Fiction (Books)",3.4,1338.0,56.0,['388 In Literature & Fiction (Books)'],1,3.65722050713382
the secret wish list,preeti shenoy,"Does true love really exist, or is it just a cliché? Can a single kiss really change your life? ",7 hours and 42 minutes,",#2,114 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#21 in Indian Literature (Audible Audiobooks & Originals),#69 in Contemporary Romance (Audible Audiobooks & Originals),#715 in Anthologies (Books)",4.3,668.0,581.0,[],1,5.126588179092575
alice's adventures in wonderland,lewis carroll,"Golden Globe nominee Scarlett Johansson (Lost in Translation, Girl with a Pearl Earring) brings a palpable sense of joy and exuberance to her performance of Lewis Carroll's enduring classic Alice's Adventures in Wonderland. From the White Rabbit and Mad Hatter to the Cheshire Cat and Queen of Hearts, she imbues each madcap character with a distinct voice and personality that will leave a lasting impression long after the adventure is over. ",2 hours and 44 minutes,",#2,110 in Classic Fiction (Books)",4.4,333.0,7530.0,['110 In Classic Fiction (Books)'],1,6.210713245640541
seven brief lessons on physics,carlo rovelli,"Penguin presents the unabridged, downloadable audiobook edition of Seven Brief Lessons on Physics written and read by Carlo Rovelli. These seven short lessons guide us, with admirable clarity, through the scientific revolution that shook physics in the 20th century and still continues to shake us today. ",1 hour and 45 minutes,",#142 in Astronomy (Books),#152 in Earth Sciences Books,#23,598 in Textbooks & Study Guides",4.4,615.0,2228.0,['598 In Textbooks & Study Guides'],7,5.723723333354348
seven brief lessons on physics,carlo rovelli,"Penguin presents the unabridged, downloadable audiobook edition of Seven Brief Lessons on Physics written and read by Carlo Rovelli. These seven short lessons guide us, with admirable clarity, through the scientific revolution that shook physics in the 20th century and still continues to shake us today. ",1 hour and 45 minutes,",#142 in Astronomy (Books),#152 in Earth Sciences Books,#23,598 in Textbooks & Study Guides",4.4,615.0,2228.0,['598 In Textbooks & Study Guides'],7,5.723723333354348
"the blood of olympus: heroes of olympus, book 5",rick riordan,"The unabridged, downloadable audiobook edition of The Blood of Olympus - the fifth book in the best-selling Heroes of Olympus series, set in the high-octane world of Percy Jackson. Though the Greek and Roman crew members of the Argo II have made progress in their many quests, they still seem no closer to defeating the earth mother, Gaea. Her giants have risen - all of them - and they're stronger than ever. The gods, still suffering from multiple personality disorder, are useless. How can a handful of young demigods hope to persevere against Gaea's army of powerful giants? As dangerous as it is to head to Athens, they have no other option. They have sacrificed too much already. And if Gaea wakes, it is game over.",14 hours and 25 minutes,",#2,045 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#77 in Fantasy (Audible Audiobooks & Originals),#1,307 in Children's Fantasy (Books),#1,362 in Fantasy (Books)",4.6,888.0,5722.0,"[""307 In Children'S Fantasy (Books)"", '362 In Fantasy (Books)']",1,6.220899368963641
"the blood of olympus: heroes of olympus, book 5",rick riordan,"The unabridged, downloadable audiobook edition of The Blood of Olympus - the fifth book in the best-selling Heroes of Olympus series, set in the high-octane world of Percy Jackson. Though the Greek and Roman crew members of the Argo II have made progress in their many quests, they still seem no closer to defeating the earth mother, Gaea. Her giants have risen - all of them - and they're stronger than ever. The gods, still suffering from multiple personality disorder, are useless. How can a handful of young demigods hope to persevere against Gaea's army of powerful giants? As dangerous as it is to head to Athens, they have no other option. They have sacrificed too much already. And if Gaea wakes, it is game over.",14 hours and 25 minutes,",#2,045 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#77 in Fantasy (Audible Audiobooks & Originals),#1,307 in Children's Fantasy (Books),#1,362 in Fantasy (Books)",4.6,888.0,5722.0,"[""307 In Children'S Fantasy (Books)"", '362 In Fantasy (Books)']",1,6.220899368963641
10 judgements that changed india,zia mody,,unknown,unknown,4.4,502.0,221.0,['Unknown'],1,4.801070952748912
"how to analyze people: the complete psychologist’s guide to speed reading people - analyze and influence anyone through human behavior psychology, analysis of body language and personality types",brandon cooper,"Speed-read, analyze, and influence anyone instantly!",1 hour and 43 minutes,",#2,475 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#40 in Communication & Social Skills,#179 in Psychology (Audible Audiobooks & Originals),#5,222 in Personal Development & Self-Help",3.2,233.0,30.0,['222 In Personal Development & Self-Help'],1,3.293594881794059
"how to analyze people: the ultimate guide to speed reading people through behavioral psychology, analyzing body language, understand what every person is saying using emotional intelligence, dark.",robert leary,"If you’ve always wanted to learn how to read people like a book and understand the human behavior, then keep reading....",3 hours and 3 minutes,",#1,499 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#116 in Psychology (Audible Audiobooks & Originals),#16,557 in Textbooks & Study Guides",3.1,501.0,9.0,['557 In Textbooks & Study Guides'],1,2.7810340371976183
chanakya in you: adventures of a modern kingmaker,radhakrishnan pillai,"Sorry, we just need to make sure you're not a robot. For best results, please make sure your browser is accepting cookies.",-1,-1,4.3,669.0,213.0,[],3,4.72639040600874
one night at the call centre,chetan bhagat,A comedy of romance and crossed lines.,7 hours and 33 minutes,",#2,161 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#20 in Humorous Fiction,#131 in Literary Fiction,#4,069 in Contemporary Fiction (Books)",4.1,683.0,1111.0,['069 In Contemporary Fiction (Books)'],1,5.265566189924211
retrain your brain: cognitive behavioral therapy in 7 weeks: a workbook for managing depression and anxiety,seth j. gillihan phd,"For many, cognitive behavioral therapy (CBT) has proved to be a tipping point, a treatment through which they are finally able to make significant changes and break free of anxiety and depression. ",4 hours and 17 minutes,",#1,282 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#104 in Psychology (Audible Audiobooks & Originals),#14,169 in Textbooks & Study Guides",4.1,585.0,108.0,['169 In Textbooks & Study Guides'],1,4.336539152891657
"the circadian code: lose weight, supercharge your energy and sleep well every night",dr. satchidananda panda,"Random House presents the audiobook edition of The Circadian Code, by Dr Satchidananda Panda. ",8 hours and 54 minutes,",#991 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#4 in Sleep Disorders,#7 in Weight Loss Diets,#620 in Healthy Living & Wellness",4.6,888.0,156.0,[],7,4.782498322139324
practical female psychology: for the practical man,joseph south,"Practical Female Psychology is a unique examination of women and relationships in an era of material equality between the sexes. Despite vast gains in the welfare of women, especially in the modern West, both men and women are finding relationships, ranging from dating to marriage, increasingly difficult. The authors draw upon cutting-edge science in evolutionary biology and neuropsychology as well as vast personal experience with women to distill some simple and practical principles men will find useful for creating and maintaining relationships with emotionally compatible women.",6 hours and 32 minutes,",#3,065 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#9 in Marriage,#24 in Love & Romance,#1,461 in Family & Relationships",4.5,668.0,21.0,['461 In Family & Relationships'],1,3.936416981343326
"training the mind, healing the body: a complete course for holistic health and well being",dr. deepak chopra,Training the mind... Healing the body... Transforming your life ,14 hours and 13 minutes,",#2,295 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#30 in Diets, Nutrition & Healthy Eating,#1,759 in Healthy Living & Wellness",-1.0,2008.0,0.0,"['Nutrition & Healthy Eating', '759 In Healthy Living & Wellness']",1,-0.6
and the mountains echoed,khaled hosseini,An unforgettable novel about finding a lost piece of yourself in someone else. ,14 hours,",#2,249 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#33 in Family Life Fiction,#139 in Literary Fiction,#3,465 in Crime, Thriller & Mystery (Books)",4.3,836.0,10965.0,"['465 In Crime', 'Thriller & Mystery (Books)']",1,6.3010219423855975
big little lies,liane moriarty,Originally published as Little Lies. ,15 hours and 55 minutes,",#2,129 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#31 in Family Life Fiction,#51 in Women's Fiction,#71 in Mysteries",4.6,930.0,18066.0,[],1,6.680736939509571
"rodrick rules: diary of a wimpy kid, book 2",jeff kinney,Brought to you by Puffin.,2 hours and 28 minutes,",#678 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#1 in Fiction on Siblings for Children,#1 in Fiction on Boys for Children,#5 in Humorous Fiction for Children",4.6,410.0,3146.0,[],1,5.981681958825763
the little book of hygge: the danish way to live well,meik wiking,"Penguin presents the unabridged downloadable audiobook edition of The Little Book of Hygge, written and read by Meik Wiking. ",3 hours and 13 minutes,",#2,128 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#131 in Lifestyle & Personal Style Guides (Books),#317 in Personal Success,#1,579 in Politics",4.6,615.0,2694.0,['579 In Politics'],7,5.919661393337239
thinking in systems: a primer,donella h. meadows,"In the years following her role as the lead author of the international best seller, Limits to Growth - the first book to show the consequences of unchecked growth on a finite planet - Donella Meadows remained a pioneer of environmental and social analysis until her untimely death in 2001. ",6 hours and 26 minutes,",#1,151 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#4 in Sustainable Development,#15 in Business Development (Audible Audiobooks & Originals),#16 in Organisational Behaviour",4.6,668.0,702.0,[],1,5.3821427567242655
the art of the start 2.0,guy kawasaki,"The Art of the Start 2.0 is Guy Kawasaki's classic best-selling guide to launching and making your new product, service or idea a success. This new edition has been expanded to reflect the seismic changes in business over the last decade, in which once-invulnerable market leaders have struggled and many of the basics of getting established have become easier, cheaper and more democratic. ",9 hours and 45 minutes,",#2,241 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#57 in Entrepreneurship (Audible Audiobooks & Originals),#3,614 in Analysis & Strategy,#25,262 in Textbooks & Study Guides",4.5,1328.0,438.0,"['614 In Analysis & Strategy', '262 In Textbooks & Study Guides']",1,5.133799765230068
the forbidden tattoo: love in times of tinder,shanaya taneja,"All things are possible within the dark corners of our mind where fantasies take shape just for our own pleasure. It’s one thing to fantasize, but what happens when those fantasies become reality? ",26 minutes,",#27 Free in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#4 in Adult Collections & Anthologies",3.5,0.0,7.0,[],1,2.9317766166719346
english speaking master. proficiency level b2-c1: listen & learn,dorota guzik,"
By completing your purchase you agree to Audible’s  Conditions of Use, Amazon's Privacy Notice and if applicable Audible's Recurring Payment Terms.
",5 hours,",#1,703 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#8 in English Language Learning,#521 in Language Learning & Teaching",-1.0,568.0,0.0,[],0,-0.6
"the power of vulnerability: teachings of authenticity, connection, and courage",brené brown phd,"Sorry, we just need to make sure you're not a robot. For best results, please make sure your browser is accepting cookies.",-1,-1,4.7,1148.0,188.0,[],3,4.916698806023857
do the work,steven pressfield,"Could you be getting in your way of producing great work? Have you started a project but never finished? Would you like to do work that matters, but don't know where to start? The answer is Do the Work, a manifesto by best-selling author Steven Pressfield, that will show you that it’s not about better ideas, it’s about actually doing the work. Do the Work is a weapon against Resistance - a tool that will help you take action and successfully ship projects out the door. ",1 hour and 25 minutes,",#495 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#3 in Creativity & Genius,#98 in Personal Success,#1,314 in Personal Development & Self-Help",4.4,352.0,1345.0,['314 In Personal Development & Self-Help'],1,5.5219570040818695
the presentation secrets of steve jobs: how to be insanely great in front of any audience,carmine gallo,"Whether he was introducing the latest iPad or delivering a keynote presentation, Steve Jobs electrified audiences with his incomparable style and showmanship. He didn’t just convey information in his presentations; he told a story, painted a picture, and shared a vision. He gave his audience a transformative experience that was unique, inspiring, and unforgettable. ",4 hours and 17 minutes,",#2,102 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#2 in Art of Storytelling,#7 in Meetings & Presentations,#13 in Mentoring & Coaching",4.6,586.0,383.0,[],1,5.14025702103509
nine lives: in search of the sacred in modern india,william dalrymple,Shortlisted for the BBC Samuel Johnson Prize 2010. Winner of the 2010 Asia House Award for Asian Literature. ,10 hours and 15 minutes,",#91 in Mysticism (Books),#476 in Travel & Tourism (Books),#2,319 in Mind, Body & Spirit",4.5,721.0,255.0,"['319 In Mind', 'Body & Spirit']",1,4.918070977791825
rule #1: the simple strategy for successful investing - in only 15 minutes a week!,phil town," In this book I'll show you how I turned $1,000 into $1 million in only five years, and then proceeded to make many millions more. I came to investing as a person who wasn't great at math, possessed zero extra cash, and wanted a life, not an extra three hours of work to do every day.",11 hours and 29 minutes,",#882 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#3 in Money Management,#50 in Investing & Trading,#107 in Personal Success in Business",4.6,1149.0,668.0,[],1,5.362313624051291
sophie's world: a novel about the history of philosophy,jostein gaarder,"One day 14-year-old Sophie Amundsen comes home from school to find in her mailbox two notes, with one question on each: ""Who are you?"" and ""Where does the world come from?"" From that irresistible beginning, Sophie becomes obsessed with questions that take her far beyond her home. Through those letters, she enrolls in a kind of correspondence course, covering Socrates to Sartre, with a mysterious philosopher, while receiving letters addressed to another girl.",2 hours and 58 minutes,",#1,250 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#12 in Contemporary Fiction (Audible Audiobooks & Originals),#73 in Literary Fiction,#6,734 in Literature & Fiction (Books)",4.5,351.0,734.0,['734 In Literature & Fiction (Books)'],1,5.339948199685134
the audacity of hope: thoughts on reclaiming the american dream,barack obama," At the heart of this audiobook is Senator Obama's vision of how we can move beyond our divisions to tackle concrete problems. Underlying his stories about family, friends, members of the Senate, and even the president is a vigorous search for connection: the foundation for a radically hopeful political consensus.",6 hours and 10 minutes,",#1,327 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#3 in African American Demographic Studies,#4 in African American History,#5 in Democracy",4.6,754.0,1339.0,[],1,5.640169957177983
fantastic mr fox,roald dahl,,unknown,unknown,4.7,615.0,1704.0,['Unknown'],1,5.796528155887048
"fiber fueled: the plant-based gut health program for losing weight, restoring your health, and optimizing your microbiome",will bulsiewicz,"A bold new plant-based plan that challenges popular keto and paleo diets, from an award-winning gastroenterologist.",7 hours and 11 minutes,",#2,202 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#4 in Gastrointestinal Diseases,#27 in Diets, Nutrition & Healthy Eating,#1,659 in Healthy Living & Wellness",4.8,879.0,795.0,"['Nutrition & Healthy Eating', '659 In Healthy Living & Wellness']",1,5.551839674337753
the secret history,donna tartt,The smartest murder-mystery you will ever hear. ,22 hours and 4 minutes,",#1,039 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#22 in Suspense,#59 in Literary Fiction,#1,232 in Crime, Thriller & Mystery (Books)",4.2,1093.0,3084.0,"['232 In Crime', 'Thriller & Mystery (Books)']",1,5.733722774535796
the hero with a thousand faces,joseph campbell,"Since its release in 1949, The Hero with a Thousand Faces has influenced millions of readers by combining the insights of modern psychology with Joseph Campbell's revolutionary understanding of comparative mythology. In this book, Campbell outlines the Hero's Journey, a universal motif of adventure and transformation that runs through virtually all of the world's mythic traditions. He also explores the Cosmogonic Cycle, the mythic pattern of world creation and destruction. ",14 hours and 37 minutes,",#1,599 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#2 in Folklore & Mythology Studies,#2 in Freudian Theory,#6 in Mythology & Folklore Encyclopedias",4.6,1005.0,1563.0,[],1,5.702000768442103
